timestamp,username,message
00:00:05,user001,안녕하세요
00:00:12,user002,반갑습니다
00:01:03,user003,오늘 방송 기대되네요
00:05:22,user004,ㅋㅋㅋ
00:10:44,user005,진짜요?
01:24:01,user006,대박이다
01:24:02,user007,ㄷㄷㄷ 진짜?
01:24:03,user008,클립각
01:24:04,user009,와 이거 실화??
01:24:05,user010,대박 ㅋㅋㅋㅋ
01:24:06,user011,ㄷㄷ 미쳤다
01:24:07,user012,클립 클립
01:24:08,user013,대박이다 진짜
01:24:09,user014,와와와
01:24:10,user015,ㅋㅋㅋ 진짜 대박
01:24:11,user016,클립각이다
01:24:12,user017,ㄷㄷㄷㄷ
01:24:13,user018,진짜 미쳤다
01:24:14,user019,대박 클립
01:24:15,user020,와 진짜?
02:00:00,user021,마무리네요
02:00:30,user022,수고하셨습니다
02:01:00,user023,다음에 또 봐요
